Item_name,Condition,Rep,weight_MeOH_extract,weight_dry_tissue,CAI1,CAI2
ManonPaniez_72HAI_POS_5,72HAI,5,NA,1.14,4116,475
ManonPaniez_96HAI_Dark_POS_3,96HAI_D,3,NA,2.66,12657,927
ManonPaniez_144HAI_Light1_POS_5,144HAI_L1,5,NA,2.43,14704,1522
ManonPaniez_120HAI_Light2_POS_1,120HAI_L2,1,NA,1.48,23111,2347
ManonPaniez_120HAI_Dark_POS_4,120HAI_D,4,NA,2.1,31114,3219
ManonPaniez_120HAI_Light2_POS_4,120HAI_L2,4,NA,1.99,62224,6692
ManonPaniez_144HAI_Dark_POS_4,144HAI_D,4,0.01,7,17176,1399
ManonPaniez_120HAI_Light2_POS_2,120HAI_L2,2,0.05,6.83,57154,5577
ManonPaniez_72HAI_POS_1,72HAI,1,0.07,0.79,3403,574
ManonPaniez_120HAI_Light1_POS_4,120HAI_L1,4,0.1,2.29,17530,1658
ManonPaniez_96HAI_Light_POS_3,96HAI_L,3,0.13,1.25,8,1
ManonPaniez_144HAI_Dark_POS_5,144HAI_D,5,0.15,11.64,39198,4555
ManonPaniez_144HAI_Light1_POS_1,144HAI_L1,1,0.16,2.2,17566,1764
ManonPaniez_120HAI_Light2_POS_3,120HAI_L2,3,0.18,1.92,52035,5358
ManonPaniez_96HAI_Dark_POS_1,96HAI_D,1,0.2,2.78,13331,1126
ManonPaniez_144HAI_Dark_POS_2,144HAI_D,2,0.24,15.52,48263,6120
ManonPaniez_72HAI_POS_2,72HAI,2,0.25,1.72,8059,1365
ManonPaniez_144HAI_Light1_POS_2,144HAI_L1,2,0.25,2.01,20359,2193
ManonPaniez_120HAI_Light1_POS_3,120HAI_L1,3,0.26,5.99,24180,3449
ManonPaniez_120HAI_Dark_POS_5,120HAI_D,5,0.27,5.9,31179,2688
ManonPaniez_120HAI_Light2_POS_5,120HAI_L2,5,0.27,2.83,63843,8172
ManonPaniez_96HAI_Dark_POS_5,96HAI_D,5,0.35,2.81,22659,1956
ManonPaniez_96HAI_Light_POS_5,96HAI_L,5,0.35,3.85,50751,5978
ManonPaniez_120HAI_Dark_POS_1,120HAI_D,1,0.37,3.63,39388,3705
ManonPaniez_120HAI_Dark_POS_3,120HAI_D,3,0.4,3.11,40166,3654
ManonPaniez_120HAI_Light1_POS_2,120HAI_L1,2,0.42,1.86,10151,1206
ManonPaniez_96HAI_Dark_POS_4,96HAI_D,4,0.5,4.15,30136,1927
ManonPaniez_120HAI_Dark_POS_2,120HAI_D,2,0.52,4,34831,3726
ManonPaniez_120HAI_Light1_POS_1,120HAI_L1,1,0.53,2.62,24290,2741
ManonPaniez_144HAI_Dark_POS_1,144HAI_D,1,0.58,3.14,54999,5367
ManonPaniez_72HAI_POS_3,72HAI,3,0.64,2.26,16101,2366
ManonPaniez_120HAI_Light1_POS_5,120HAI_L1,5,0.7,NA,27472,4067
ManonPaniez_144HAI_Light1_POS_3,144HAI_L1,3,0.72,17.87,49644,5301
ManonPaniez_96HAI_Light_POS_1,96HAI_L,1,0.97,3.62,24149,1932
ManonPaniez_96HAI_Dark_POS_2,96HAI_D,2,1.15,10.37,27864,1726
ManonPaniez_144HAI_Dark_POS_3,144HAI_D,3,1.47,46.83,9878,1012
ManonPaniez_144HAI_Light1_POS_4,144HAI_L1,4,1.97,1.4,29684,3707
ManonPaniez_96HAI_Light_POS_4,96HAI_L,4,1.99,2.53,27731,2495
ManonPaniez_72HAI_POS_4,72HAI,4,4.15,1.23,7451,1207
ManonPaniez_96HAI_Light_POS_2,96HAI_L,2,4.76,2.64,18156,1270
